,user_id,rating,book_name,book_id
0,8122459,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
1,5364077,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
2,12487991,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
3,33622,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
4,1365310,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
5,71421677,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
6,433399,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
7,21320517,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
8,1809961,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
9,591995,it was ok,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
10,1100764,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
11,18969987,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
12,9617891,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
13,361168,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
14,944852,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
15,1248475,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
16,176463,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
17,859632,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
18,8831905,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
19,22362863,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
20,2105282,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
21,1102800,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
22,931714,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
23,5893546,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
24,126385,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
25,6635416,it was ok,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
26,4316714,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
27,11097400,did not like it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
28,1609265,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
29,1333832,really liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
30,1114144,it was amazing,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
31,657788,liked it,"Kindred Spirit: A Biography of L. M. Montgomery, Creator of Anne of Green Gables",3575
32,2970379,liked it,Along the Shore,3576
33,5098373,liked it,Along the Shore,3576
34,7120149,liked it,Along the Shore,3576
35,2504970,really liked it,Along the Shore,3576
36,28582487,it was amazing,Along the Shore,3576
37,4787170,really liked it,Along the Shore,3576
38,21854176,it was ok,Along the Shore,3576
39,806026,liked it,Along the Shore,3576
40,134743,really liked it,Along the Shore,3576
41,83319,liked it,Along the Shore,3576
42,1874367,liked it,Along the Shore,3576
43,12558730,really liked it,Along the Shore,3576
44,3999966,really liked it,Along the Shore,3576
45,2122397,liked it,Along the Shore,3576
46,937119,liked it,Along the Shore,3576
47,674092,liked it,Along the Shore,3576
48,13091714,liked it,Along the Shore,3576
49,48404,liked it,Along the Shore,3576
50,1148611,liked it,Along the Shore,3576
51,52057199,it was ok,Along the Shore,3576
52,94075,really liked it,Along the Shore,3576
53,1268912,it was amazing,Along the Shore,3576
54,3139232,it was ok,Along the Shore,3576
55,737986,liked it,Along the Shore,3576
56,9325609,really liked it,Along the Shore,3576
57,225201,liked it,Along the Shore,3576
58,50741157,it was amazing,Along the Shore,3576
59,21776419,it was amazing,Along the Shore,3576
60,2617721,really liked it,Along the Shore,3576
61,2617721,really liked it,Along the Shore,3576
62,22187007,liked it,Along the Shore,3576
63,921817,really liked it,Along the Shore,3576
64,2500098,really liked it,Along the Shore,3576
65,4806836,it was ok,Along the Shore,3576
66,5757437,really liked it,Along the Shore,3576
67,59133176,really liked it,Along the Shore,3576
68,4278073,liked it,Along the Shore,3576
69,430718,really liked it,Along the Shore,3576
70,2531887,it was amazing,Along the Shore,3576
71,32571996,liked it,Along the Shore,3576
72,2458106,did not like it,Along the Shore,3576
73,6746310,it was ok,Along the Shore,3576
74,2143739,really liked it,Along the Shore,3576
75,3862413,it was amazing,Along the Shore,3576
76,5893546,really liked it,Along the Shore,3576
77,414887,liked it,Along the Shore,3576
