,user_id,rating,book_name,book_id
153,5362643,liked it,The Bucaneers,48
154,1023727,really liked it,The Bucaneers,48
155,3112117,really liked it,The Bucaneers,48
156,973558,it was ok,The Bucaneers,48
157,18625173,liked it,The Bucaneers,48
158,4227997,it was amazing,The Bucaneers,48
159,933179,it was amazing,The Bucaneers,48
160,5950821,liked it,The Bucaneers,48
161,6411355,really liked it,The Bucaneers,48
162,2710848,really liked it,The Bucaneers,48
163,245301,liked it,The Bucaneers,48
164,286675,liked it,The Bucaneers,48
165,11677860,really liked it,The Bucaneers,48
166,1643707,really liked it,The Bucaneers,48
167,1160645,liked it,The Bucaneers,48
168,13693671,it was ok,The Bucaneers,48
169,2251339,liked it,The Bucaneers,48
170,6954361,really liked it,The Bucaneers,48
171,23211181,liked it,The Bucaneers,48
172,2383599,liked it,The Bucaneers,48
173,156713,really liked it,The Bucaneers,48
174,1925735,liked it,The Bucaneers,48
175,113252,really liked it,The Bucaneers,48
176,21741748,it was amazing,The Bucaneers,48
177,6247910,really liked it,The Bucaneers,48
178,49900,really liked it,The Bucaneers,48
179,9937858,liked it,The Bucaneers,48
180,38834335,really liked it,The Bucaneers,48
181,3167305,liked it,The Bucaneers,48
182,4990631,really liked it,The Bucaneers,48
183,7385416,liked it,The Bucaneers,48
184,1294048,liked it,The Bucaneers,48
185,1613645,really liked it,The Bucaneers,48
186,4538949,liked it,The Bucaneers,48
187,2558822,did not like it,The Bucaneers,48
188,8347606,really liked it,The Bucaneers,48
189,1835791,it was amazing,The Bucaneers,48
190,147605,really liked it,The Bucaneers,48
191,261959,really liked it,The Bucaneers,48
192,3238301,liked it,The Bucaneers,48
193,1211565,liked it,The Bucaneers,48
194,230325,liked it,The Bucaneers,48
195,22035330,really liked it,The Bucaneers,48
196,7303344,it was ok,The Bucaneers,48
197,3292438,it was amazing,The Bucaneers,48
198,120166,it was amazing,The Bucaneers,48
199,918119,really liked it,The Bucaneers,48
200,12421525,really liked it,The Bucaneers,48
201,918360,it was amazing,The Bucaneers,48
202,768516,liked it,The Bucaneers,48
203,2491017,liked it,The Bucaneers,48
204,3448095,really liked it,The Bucaneers,48
205,805043,it was amazing,The Bucaneers,48
206,6173121,really liked it,The Bucaneers,48
207,12280018,really liked it,The Bucaneers,48
208,13626087,it was ok,The Bucaneers,48
209,38522085,really liked it,The Bucaneers,48
210,1987120,really liked it,The Bucaneers,48
211,2196130,liked it,The Bucaneers,48
212,3350700,liked it,The Bucaneers,48
213,635253,liked it,The Bucaneers,48
214,1013402,it was amazing,The Bucaneers,48
215,25349148,it was amazing,The Bucaneers,48
216,15462317,it was amazing,The Bucaneers,48
217,554828,liked it,The Bucaneers,48
218,79606,really liked it,The Bucaneers,48
219,1996237,really liked it,The Bucaneers,48
220,1626689,really liked it,The Bucaneers,48
221,92397,liked it,The Bucaneers,48
222,18536822,liked it,The Bucaneers,48
223,1058551,it was amazing,The Bucaneers,48
224,342004,it was amazing,The Bucaneers,48
225,3502895,it was ok,The Bucaneers,48
226,25525377,really liked it,The Bucaneers,48
227,4721661,really liked it,The Bucaneers,48
228,4446940,it was amazing,The Bucaneers,48
229,1422918,really liked it,The Bucaneers,48
230,4323836,really liked it,The Bucaneers,48
231,221353,really liked it,The Bucaneers,48
232,9570539,liked it,The Bucaneers,48
233,4446940,it was amazing,The Bucaneers,48
234,2047126,liked it,The Bucaneers,48
235,956073,liked it,The Bucaneers,48
236,813026,liked it,The Bucaneers,48
237,6368765,liked it,The Bucaneers,48
238,5342833,really liked it,The Bucaneers,48
239,1557842,really liked it,The Bucaneers,48
240,15658501,liked it,The Bucaneers,48
241,1705484,really liked it,The Bucaneers,48
242,62610690,liked it,The Bucaneers,48
243,930336,it was amazing,The Bucaneers,48
244,16938850,it was amazing,The Bucaneers,48
245,180744,really liked it,The Bucaneers,48
246,2747088,really liked it,The Bucaneers,48
247,115096,liked it,The Bucaneers,48
248,6595759,liked it,The Bucaneers,48
249,6943592,really liked it,The Bucaneers,48
250,12374894,really liked it,The Bucaneers,48
251,3761150,really liked it,The Bucaneers,48
252,3764184,it was amazing,The Bucaneers,48
253,18112174,liked it,The Bucaneers,48
254,641459,it was amazing,The Bucaneers,48
255,7922275,it was amazing,The Bucaneers,48
256,2351806,it was amazing,The Bucaneers,48
257,15028173,it was ok,The Bucaneers,48
258,11442663,it was amazing,The Bucaneers,48
259,9032718,liked it,The Bucaneers,48
260,17087380,it was amazing,The Bucaneers,48
261,305959,it was ok,The Bucaneers,48
262,44399891,liked it,The Bucaneers,48
263,153089,it was amazing,The Bucaneers,48
264,894643,it was amazing,The Bucaneers,48
265,17087380,it was amazing,The Bucaneers,48
266,2616351,it was ok,The Bucaneers,48
267,5916126,it was amazing,The Bucaneers,48
268,182423,it was amazing,The Bucaneers,48
269,3067568,really liked it,The Bucaneers,48
270,2082215,liked it,The Bucaneers,48
271,3078305,liked it,The Bucaneers,48
272,586867,it was ok,The Bucaneers,48
273,24478038,it was amazing,The Bucaneers,48
274,91760,really liked it,The Bucaneers,48
275,1459156,it was amazing,The Bucaneers,48
276,3688613,liked it,The Bucaneers,48
277,197751,really liked it,The Bucaneers,48
278,33683071,it was ok,The Bucaneers,48
279,2483640,really liked it,The Bucaneers,48
280,2174895,did not like it,The Bucaneers,48
281,970167,liked it,The Bucaneers,48
282,1912820,really liked it,The Bucaneers,48
283,176220,liked it,The Bucaneers,48
284,318839,really liked it,The Bucaneers,48
285,10226337,really liked it,The Bucaneers,48
286,7148563,it was ok,The Bucaneers,48
